#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-07-23T20:39:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ55b150d961bd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/568/A22&tab:{J/A+A/568/A22/tablef3}&key:source=J/A+A/568/A22/tablef3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/568/A22/tablef3
#-order=I
#-out=Name
#-out=tmax
#-out=e_tmax
#
#
#RESOURCE=yCat_35680022
#Name: J/A+A/568/A22
#Title: Joint analysis of the SDSS-II and SNLS SNe Ia (Betoule+, 2014)
#Table	J_A_A_568_A22_tablef3:
#Name: J/A+A/568/A22/tablef3
#Title: Supernovae light-curve parameters (download the \aFile{J/A+A/568/A22/tablef2.fit}{2220x2220 covariance matrix} [2240=740x3 for m_B_,x_1_,c])
#Column	Name	(a12)	Supernovae name	[ucd=meta.id;meta.main]
#Column	tmax	(F9.3)	MJD corresponding to of peak brightness	[ucd=time.epoch]
#Column	e_tmax	(F6.3)	Error in tmax	[ucd=stat.error]
#Name|tmax|e_tmax
# |d|d
#------------|---------|------
03D1au      |52909.745| 0.214
03D1aw      |52902.898| 0.353
03D1ax      |52915.924| 0.112
03D1bp      |52920.249| 0.103
03D1co      |52954.458| 0.455
03D1dt      |52962.253| 0.977
03D1ew      |52991.742| 0.665
03D1fc      |53002.764| 0.104
03D1fq      |52999.213| 0.656
03D3aw      |52767.328| 0.201
03D3ay      |52767.625| 0.142
03D3ba      |52749.605| 0.805
03D3bl      |52787.142| 0.289
03D3cd      |52801.729| 0.226
03D4ag      |52830.931| 0.096
03D4at      |52816.960| 0.561
03D4au      |52816.177| 0.504
03D4cj      |52889.694| 0.093
03D4cx      |52882.827| 1.128
03D4cy      |52900.101| 0.800
03D4cz      |52894.649| 0.425
03D4dh      |52906.261| 0.266
03D4di      |52901.059| 0.534
03D4dy      |52904.254| 0.257
03D4fd      |52938.532| 0.701
03D4gf      |52936.584| 0.410
03D4gg      |52943.107| 0.554
04D1aj      |52998.962| 0.561
04D1dc      |53230.680| 0.160
04D1de      |53245.997| 0.244
04D1ff      |53251.194| 0.334
04D1hd      |53268.298| 0.081
04D1hx      |53260.059| 0.267
04D1hy      |53264.641| 0.394
04D1iv      |53264.473| 0.474
04D1jd      |53259.204| 0.451
04D1jg      |53273.566| 0.213
04D1kj      |53297.246| 0.167
04D1ks      |53291.390| 0.382
04D1oh      |53308.275| 0.204
04D1ow      |53311.746| 0.341
04D1pc      |53324.792| 0.461
