#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-07-23T21:28:23 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ55b15c602f97	
#INFO	-out.max=unlimited	
#INFO	queryParameters=8	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/139/120&tab:{J/AJ/139/120/table2}&key:source=J/AJ/139/120/table2&HTTPPRM:&
#-source=J/AJ/139/120/table2
#-order=I
#-out=SN
#-out=Band
#-out=Tmax
#
#
#RESOURCE=yCat_51390120
#Name: J/AJ/139/120
#Title: Low-redshift Type-Ia supernovae (Folatelli+, 2010)
#Table	J_AJ_139_120_table2:
#Name: J/AJ/139/120/table2
#Title: Light-curve parameters
#Column	SN	(A6)	SN name \linkRole{observational properties }	[ucd=meta.id;meta.main]
#Column	Band	(A1)	Filter name	[ucd=instr.bandpass]
#Column	Tmax	(F7.2)	Julian Date of maximum; minus 2453000	[ucd=time.epoch;stat.max]
#SN|Band|Tmax
# | |d
#------|-|-------
2004ef|B| 264.44
2004ef|V| 266.07
2004ef|u| 263.01
2004ef|g| 264.82
2004ef|r| 266.34
2004ef|i| 261.21
2004ef|Y| 261.25
2004ef|J| 261.63
2004ef|K| 262.47
2004eo|B| 278.78
2004eo|V| 280.45
2004eo|u| 277.37
2004eo|g| 279.23
2004eo|r| 280.93
2004eo|i| 275.88
2004eo|Y| 274.78
2004eo|J| 274.67
2004eo|H| 274.71
2004eo|K| 275.66
2004ey|B| 304.39
2004ey|V| 305.70
2004ey|u| 303.24
2004ey|g| 304.73
2004ey|r| 305.95
2004ey|i| 301.18
2004ey|Y| 299.81
2004ey|J| 301.06
2004ey|H| 300.63
2004ey|K| 302.05
2004gc|B| 324.57
2004gc|V| 325.85
2004gc|g| 325.04
2004gc|r| 325.78
2004gc|i| 321.55
2004gs|B| 356.18
2004gs|V| 358.64
2004gs|u| 354.98
2004gs|g| 356.79
2004gs|r| 358.19
2004gs|i| 355.76
2004gs|J| 354.61
2004gu|B| 361.91
2004gu|V| 363.26
2004gu|u| 360.54
2004gu|g| 362.90
2004gu|r| 364.77
2004gu|i| 359.83
2005A |B| 380.17
2005A |V| 382.72
2005A |u| 378.85
2005A |g| 381.92
2005A |r| 381.50
2005A |i| 376.60
2005A |Y| 374.36
2005A |J| 375.62
2005A |H| 375.09
2005M |B| 405.84
2005M |V| 407.88
2005M |u| 404.46
2005M |g| 406.28
2005M |r| 408.64
2005M |i| 402.98
2005M |Y| 402.11
2005M |J| 402.80
2005M |H| 401.92
2005M |K| 403.22
2005W |B| 412.08
2005W |V| 413.10
2005W |u| 410.86
2005W |g| 412.55
2005W |r| 413.88
2005W |i| 408.44
2005ag|B| 413.53
2005ag|V| 415.14
2005ag|g| 413.98
2005ag|r| 415.70
2005ag|i| 411.23
2005ag|Y| 408.79
2005ag|J| 410.18
2005ag|H| 409.65
2005al|B| 430.84
2005al|V| 431.57
2005al|u| 429.12
2005al|g| 430.65
2005al|r| 431.91
2005al|i| 427.98
2005al|Y| 426.43
2005al|J| 427.05
2005al|H| 426.67
2005al|K| 428.05
2005am|B| 436.86
2005am|V| 438.45
2005am|u| 435.63
2005am|g| 437.28
2005am|r| 438.43
2005am|i| 435.36
2005am|J| 434.10
2005am|H| 434.26
2005am|K| 434.50
2005be|B| 460.59
2005be|V| 462.12
2005be|u| 459.00
2005be|g| 461.12
2005be|r| 461.90
2005be|i| 458.83
2005bg|B| 470.70
2005bg|V| 471.89
2005bg|u| 469.24
2005bg|g| 471.13
2005bg|r| 472.08
2005bg|i| 467.74
2005bl|B| 484.25
2005bl|V| 485.39
2005bl|u| 481.42
2005bl|g| 484.03
2005bl|r| 486.31
2005bl|i| 486.50
2005bo|B| 479.76
2005bo|V| 480.80
2005bo|u| 477.62
2005bo|g| 480.29
2005bo|r| 480.95
2005bo|i| 476.50
2005el|B| 647.24
2005el|V| 647.89
2005el|u| 645.52
2005el|g| 647.34
