# Time of B-band maximum light as fit for in MLCS2k2 (RV=1.7).  Objects
# with A_V > 2.0, mlcs-reduced-chi^2 > 1.6 and phase of first
# observation ("t_1st_obs") > 20d have been removed.  Also, only 
# nearby objects are listed (z<=0.15).
#
# SN   t_max(MJD)   +/-	  t_1st
sn72E 41446.5200 0.7300 8.7990
sn80N 44585.3600 0.6900 -0.7660
sn81B 44670.8400 0.6900 -0.0650
sn81D 44680.1300 0.5100 -5.2410
sn86G 46561.2400 0.2100 -5.6420
sn89B 47564.0700 0.6200 -2.2600
sn90N 48081.8200 0.1700 -10.2840
sn90O 48076.1000 0.9500 0.5880
sn90T 48082.9700 0.9200 14.9260
sn90Y 48117.0000 0.6500 15.2970
sn90af 48196.0400 0.4200 -3.2760
sn91S 48348.1100 0.9900 10.8370
sn91T 48374.0500 0.1400 -11.1390
sn91U 48356.0400 1.4000 10.3620
sn91ag 48413.8900 1.2500 5.8600
sn91bg 48602.4600 0.4700 1.5350
sn92A 48640.4600 0.1600 -6.8010
sn92J 48675.7500 0.4800 10.5560
sn92P 48719.4200 0.7600 -0.7340
sn92ae 48804.1900 1.3500 1.5210
sn92ag 48807.1500 0.7400 -0.6110
sn92al 48838.2400 0.3800 -5.2950
sn92aq 48833.1300 1.1300 2.5000
sn92au 48829.8100 1.1500 14.1970
sn92bc 48912.1000 0.1700 -10.1880
sn92bg 48915.0600 1.0600 4.5790
sn92bh 48920.1000 1.0200 -0.2540
sn92bk 48938.9400 1.5300 8.3070
sn92bl 48945.8700 0.9800 3.5350
sn92bo 48986.2900 0.1700 -7.5400
sn92bp 48980.0900 0.7300 -1.2980
sn92br 48985.3100 1.1100 1.2690
sn92bs 48984.4700 1.3400 3.0670
sn93B 49003.7000 1.1200 3.8440
sn93H 49068.3500 0.6500 -0.5600
sn93L 49099.3900 0.3800 13.4260
sn93O 49134.3000 0.3800 -6.2480
sn93ac 49269.6900 1.1000 6.9630
sn93ae 49288.3000 0.7500 14.0330
sn93ag 49316.1700 0.7200 -1.2560
